Paradicsomleves;20;leves;könnyű
Zöldborsóleves;40;leves;közepes
Zöldborsófőzelék;30;főzelék;könnyű
Tejberizs;60;édesség;közepes
Tavaszi riszeshús;60;készétel;közepes
Madártej;50;édesség;közepes
Sertés pörkölt;70;készétel;közepes
Piskótatekercs;60;édesség;közepes
Finomfőzelék;35;főzelék;könnyű
Krumplistészta;50;készétel;könnyű
Brassói aprópecsenye;60;frissensült;közepes
Mézes krémes;90;édesség;bonyolult
Caesar saláta;35;saláta;közepes
Rántott csirke;25;frissensült;könnyű
Rakott kel;120;készétel;bonyolult
Görög saláta;15;saláta;könnyű
Jókai bableves;60;leves;közepes
Tavaszi káposztasaláta;15;saláta;könnyű
Eszterházy torta;120;édesség;bonyolult
Cigány pecsenye;25;frissensült;könnyű
Citromos-tejszínes tengeri hal;30;frissensült;könnyű
Gesztenyepüré;10;édesség;könnyű
Rántott sajt;25;frissensült;könnyű
Marhahúsleves;240;leves;közepes
Tökfőzelék;30;főzelék;könnyű
Majonézes kukoricasaláta;25;saláta;könnyű
Tárkonyos raguleves;60;leves;közepes
Rakott krumpli;120;készétel;közepes
Tejszínes-húsos rakott krumpli;90;készétel;közepes
Bolognai spagetti;50;készétel;közepes
Fasírt;60;frissensült;bonyolult
Carbonara spagetti;25;készétel;könnyű
Tejbegríz;10;édesség;könnyű
Bakonyi ragu;50;készétel;közepes
Svéd gomba;20;saláta;könnyű
Stroganoff sertésragu;70;készétel;bonyolult
